season_start,n,median_number,q25,q75,share_0_00,share_50_plus
1980,285,25.0,13.0,40.0,0.010526315789473684,0.07719298245614035
1981,308,24.5,13.0,40.0,0.012987012987012988,0.08441558441558442
1982,306,25.0,14.0,40.0,0.013071895424836602,0.0915032679738562
1983,303,24.0,12.0,40.0,0.013201320132013201,0.07920792079207921
1984,310,24.0,12.0,40.0,0.012903225806451613,0.09032258064516129
1985,314,23.0,12.0,35.0,0.01910828025477707,0.07643312101910828
1986,330,24.0,11.0,40.0,0.01818181818181818,0.07878787878787878
1987,325,25.0,12.0,35.0,0.015384615384615385,0.08615384615384615
1988,347,24.0,12.0,35.0,0.011527377521613832,0.07492795389048991
1989,374,23.5,12.0,35.0,0.013368983957219251,0.07219251336898395
1990,378,24.0,11.0,35.0,0.018518518518518517,0.082010582010582
1991,382,23.0,11.0,34.0,0.02356020942408377,0.08376963350785341
1992,385,23.0,11.0,34.0,0.015584415584415584,0.08311688311688312
1993,399,24.0,10.0,40.0,0.020050125313283207,0.09523809523809523
1994,398,21.0,9.0,34.0,0.017587939698492462,0.09296482412060302
1995,417,22.0,9.0,35.0,0.011990407673860911,0.10071942446043165
1996,354,22.5,8.0,35.0,0.01977401129943503,0.1016949152542373
1997,351,20.0,8.0,34.0,0.019943019943019943,0.07692307692307693
1998,347,21.0,8.0,34.0,0.01440922190201729,0.09221902017291066
1999,344,20.0,8.0,33.0,0.01744186046511628,0.09302325581395349
2000,352,21.0,7.0,34.0,0.014204545454545454,0.08806818181818182
2001,367,20.0,7.0,33.0,0.01634877384196185,0.07356948228882834
2002,464,20.0,7.0,34.0,0.021551724137931036,0.07543103448275862
2003,415,20.0,7.0,33.0,0.01927710843373494,0.06746987951807229
2004,378,17.0,7.0,32.0,0.015873015873015872,0.06613756613756613
2005,409,18.0,7.0,33.0,0.012224938875305624,0.06356968215158924
2006,436,15.0,7.0,31.0,0.009174311926605505,0.05963302752293578
2007,430,16.0,7.0,31.0,0.009302325581395349,0.05813953488372093
2008,434,14.0,7.0,31.0,0.016129032258064516,0.0576036866359447
2009,429,14.0,6.0,30.0,0.027972027972027972,0.04195804195804196
2010,436,14.0,6.0,28.0,0.027522935779816515,0.05733944954128441
2011,442,14.0,6.0,28.0,0.027149321266968326,0.06108597285067873
2012,446,13.0,5.0,25.0,0.03811659192825112,0.053811659192825115
2013,441,13.0,6.0,25.0,0.04081632653061224,0.047619047619047616
2014,450,13.0,5.0,25.0,0.03777777777777778,0.044444444444444446
2015,451,13.0,5.0,25.0,0.04212860310421286,0.03991130820399113
2016,451,13.0,6.0,25.0,0.050997782705099776,0.03325942350332594
2017,502,13.0,5.0,25.0,0.05179282868525897,0.03386454183266932
2018,496,14.0,6.0,25.0,0.04032258064516129,0.04435483870967742
2019,509,14.0,6.0,25.0,0.047151277013752456,0.043222003929273084
2020,499,13.0,6.0,25.0,0.050100200400801605,0.05410821643286573
2021,503,13.0,5.0,24.0,0.04970178926441352,0.041749502982107355
2022,506,13.0,6.0,25.0,0.05138339920948617,0.041501976284584984
2023,529,14.0,5.0,24.0,0.0661625708884688,0.045368620037807186
2024,530,13.0,5.0,24.0,0.06792452830188679,0.04716981132075472
2025,519,14.0,5.0,24.0,0.055876685934489405,0.04816955684007707
