metric,season_start,value,n
jersey_height_cor,1980,0.4420302790856407,277
jersey_height_cor,1981,0.49561911533896535,308
jersey_height_cor,1982,0.4681435716104844,306
jersey_height_cor,1983,0.5210643654956629,303
jersey_height_cor,1984,0.5415310454021461,310
jersey_height_cor,1985,0.5209328289793697,313
jersey_height_cor,1986,0.5017127078637698,330
jersey_height_cor,1987,0.5674488037186299,324
jersey_height_cor,1988,0.5305044132565542,347
jersey_height_cor,1989,0.5296170038926463,374
jersey_height_cor,1990,0.5061836667176733,377
jersey_height_cor,1991,0.4578273332569802,378
jersey_height_cor,1992,0.46329025015950004,385
jersey_height_cor,1993,0.5196923817443431,398
jersey_height_cor,1994,0.49444891750586856,393
jersey_height_cor,1995,0.4662146244103631,417
jersey_height_cor,1996,0.44182496617554223,354
jersey_height_cor,1997,0.42697368900368965,351
jersey_height_cor,1998,0.4265945964868648,347
jersey_height_cor,1999,0.3790970004567886,344
jersey_height_cor,2000,0.3844580884395089,352
jersey_height_cor,2001,0.3323183495020567,367
jersey_height_cor,2002,0.3368640335346012,464
jersey_height_cor,2003,0.31297037320322496,415
jersey_height_cor,2004,0.3133683939165923,378
jersey_height_cor,2005,0.25346681793609077,409
jersey_height_cor,2006,0.27962344564550956,436
jersey_height_cor,2007,0.30420389880426413,430
jersey_height_cor,2008,0.27492630946865787,434
jersey_height_cor,2009,0.27827984779818493,429
jersey_height_cor,2010,0.24068222065238842,436
jersey_height_cor,2011,0.23772384597618232,442
jersey_height_cor,2012,0.252687400386027,446
jersey_height_cor,2013,0.25501179978552374,441
jersey_height_cor,2014,0.2735802086940381,450
jersey_height_cor,2015,0.25723772043008664,450
jersey_height_cor,2016,0.248089120431689,451
jersey_height_cor,2017,0.21534925902287416,502
jersey_height_cor,2018,0.23109895469695235,496
jersey_height_cor,2019,0.22773305756303194,509
jersey_height_cor,2020,0.2513956487050374,499
jersey_height_cor,2021,0.2525188646666298,503
jersey_height_cor,2022,0.22616862904775967,506
jersey_height_cor,2023,0.20434999741223184,529
jersey_height_cor,2024,0.11942320923923061,530
mean_height_in,1980,78.45394736842105,304
mean_height_in,1981,78.61587301587302,315
mean_height_in,1982,78.6952380952381,315
mean_height_in,1983,78.86407766990291,309
mean_height_in,1984,78.83699059561128,319
mean_height_in,1985,79.1141975308642,324
mean_height_in,1986,79.06586826347305,334
mean_height_in,1987,79.09063444108762,331
mean_height_in,1988,79.0028409090909,352
mean_height_in,1989,78.84736842105264,380
mean_height_in,1990,78.9922077922078,385
mean_height_in,1991,78.83333333333333,384
mean_height_in,1992,78.8840206185567,388
mean_height_in,1993,79.03482587064677,402
mean_height_in,1994,78.84788029925187,401
mean_height_in,1995,79.07159904534606,419
mean_height_in,1996,79.18361581920904,354
mean_height_in,1997,79.02564102564102,351
mean_height_in,1998,79.27665706051873,347
mean_height_in,1999,79.11627906976744,344
mean_height_in,2000,79.21306818181819,352
mean_height_in,2001,79.1825613079019,367
mean_height_in,2002,79.37473233404711,467
mean_height_in,2003,79.32451923076923,416
mean_height_in,2004,79.23280423280423,378
mean_height_in,2005,79.07021791767555,413
mean_height_in,2006,79.0756880733945,436
mean_height_in,2007,79.19767441860465,430
