pair_start,n_matched,mean_delta,share_shrunk,share_same,share_grew
1980,244,0,0,1,0
1981,246,0,0,1,0
1982,247,0,0,1,0
1983,251,0,0,1,0
1984,254,0,0,1,0
1985,251,0,0,1,0
1986,261,0,0,1,0
1987,259,0,0,1,0
1988,281,0,0,1,0
1989,297,0,0,1,0
1990,301,0,0,1,0
1991,304,0,0,1,0
1992,303,0,0,1,0
1993,309,-0.003236245954692567,0.003236245954692557,0.9967637540453075,0
1994,311,0.12218649517684879,0.006430868167202572,0.8842443729903537,0.10932475884244373
1995,286,0.01748251748251747,0.0034965034965034965,0.9825174825174825,0.013986013986013986
1996,257,0,0,1,0
1997,256,0,0,1,0
1998,253,0.00395256916996049,0,0.9960474308300395,0.003952569169960474
1999,262,-0.03053435114503813,0.03435114503816794,0.9580152671755725,0.007633587786259542
2000,257,0.02334630350194557,0.011673151750972763,0.9571984435797666,0.0311284046692607
2001,320,0.028125,0.009375,0.959375,0.03125
2002,343,-0.014577259475218658,0.02040816326530612,0.967930029154519,0.011661807580174927
2003,309,-0.029126213592232962,0.038834951456310676,0.9514563106796117,0.009708737864077669
2004,315,0.02222222222222224,0.0031746031746031746,0.9714285714285714,0.025396825396825397
2005,353,0.019830028328611898,0.0028328611898017,0.9745042492917847,0.0226628895184136
2006,357,0.0028011204481792804,0.0196078431372549,0.957983193277311,0.022408963585434174
2007,365,0.013698630136986262,0.00821917808219178,0.9698630136986301,0.021917808219178082
2008,354,0.0056497175141242886,0.005649717514124294,0.9830508474576272,0.011299435028248588
2009,355,0.030985915492957775,0.0028169014084507044,0.9690140845070423,0.028169014084507043
2010,356,0.011235955056179792,0.0028089887640449437,0.9859550561797753,0.011235955056179775
2011,350,0,0,1,0
2012,362,0.03314917127071818,0,0.9668508287292817,0.03314917127071823
2013,361,0.019390581717451495,0.00554016620498615,0.9722991689750693,0.0221606648199446
2014,374,0.002673796791443842,0.0106951871657754,0.9732620320855615,0.016042780748663103
2015,360,-0.0027777777777777853,0.011111111111111112,0.9777777777777777,0.011111111111111112
2016,366,0.005464480874316942,0.01912568306010929,0.9590163934426229,0.02185792349726776
2017,384,0.0234375,0.015625,0.9479166666666666,0.036458333333333336
2018,388,-0.5695876288659791,0.5541237113402062,0.3917525773195876,0.05412371134020619
2019,412,0.0024271844660195122,0.04611650485436893,0.9077669902912622,0.04611650485436893
2020,402,-0.012437810945273457,0.06218905472636816,0.8880597014925373,0.04975124378109453
2021,401,0.08478802992518694,0.09476309226932668,0.7356608478802993,0.16957605985037408
2022,425,-0.06117647058823527,0.11529411764705882,0.8235294117647058,0.0611764705882353
2023,426,-0.007042253521126614,0.023474178403755867,0.9624413145539906,0.014084507042253521
